taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
103828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	1	2	0	family	Thelaziidae
1049651	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	family	Ectobiidae
147582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	family	Agriolimacidae
160513	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Pentatomidae
16739	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	family	Piperaceae
175333	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6	family	Eresidae
213546	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	family	Timematidae
22097	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	family	Amborellaceae
23513	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Rutaceae
25664	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	family	Araucariaceae
25913	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	family	Cyclanthaceae
27439	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	family	Chrysomelidae
27479	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Reduviidae
27482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	family	Aphididae
28983	0	0	0	0	0	43	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	family	Sclerotiniaceae
29026	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Staphylinidae
31262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	family	Dugesiidae
3318	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	family	Pinaceae
3362	0	0	0	0	0	8	0	0	0	0	1	0	0	19	34	34	0	0	0	0	1	0	0	1	family	Podocarpaceae
3401	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	family	Magnoliaceae
3440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	family	Ranunculaceae
34643	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	family	Theridiidae
34667	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	20	family	Cerambycidae
3481	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Cannabaceae
3514	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	family	Betulaceae
3602	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	family	Vitaceae
3629	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	family	Malvaceae
3647	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Caricaceae
36668	0	0	0	0	0	9	0	2	0	0	0	1	0	6	0	2	0	0	0	0	0	0	0	1	family	Formicidae
3745	0	0	0	0	4	1	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	family	Rosaceae
37859	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	family	Limacidae
3792	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	family	Saxifragaceae
3803	0	0	0	6	5	0	0	0	0	0	0	0	146	0	0	0	32	1	1	0	1	2	1	0	family	Fabaceae
3931	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	family	Myrtaceae
4070	0	0	0	139	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	family	Solanaceae
4144	0	4	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	family	Oleaceae
43219	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Herpotrichiellaceae
4328	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	family	Proteaceae
4345	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Ericaceae
4429	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Nelumbonaceae
4479	0	2	6	1199	69	2	20	0	407	0	6	45	1	0	449	1	0	0	0	0	0	4	0	1	family	Poaceae
45053	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	family	Thripidae
4710	0	1	0	2	8	15	0	3	0	0	2	16	4	0	1	0	0	0	0	0	6	5	0	0	family	Arecaceae
4724	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	family	Pandanaceae
4747	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	family	Orchidaceae
4893	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Saccharomycetaceae
50527	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	family	Buprestidae
51026	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Oxyuridae
