taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
1	103828	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	6	16	1	family	Thelaziidae
2	1049651	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	family	Ectobiidae
3	147582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	family	Agriolimacidae
4	160513	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Pentatomidae
5	16739	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	family	Piperaceae
6	175333	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	family	Eresidae
7	213546	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	family	Timematidae
8	22097	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	family	Amborellaceae
9	23513	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Rutaceae
10	25664	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	family	Araucariaceae
11	25913	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	family	Cyclanthaceae
12	27439	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	family	Chrysomelidae
13	27479	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Reduviidae
14	27482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	family	Aphididae
15	28983	0	0	0	0	0	44	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	family	Sclerotiniaceae
16	29026	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	family	Staphylinidae
17	31262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	family	Dugesiidae
18	3318	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	family	Pinaceae
19	3362	0	0	0	0	0	8	0	0	0	0	1	0	0	19	34	34	0	0	0	0	1	0	0	1	family	Podocarpaceae
20	3401	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	family	Magnoliaceae
