taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
108410	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	genus	Carludovica
13215	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	genus	Piper
132420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	genus	Arthurdendyus
13749	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Vaccinium
13893	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	genus	Cocos
139060	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Ascocoryne
145609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	genus	Deroceras
2706	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Citrus
33196	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Botrytis
3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	genus	Ranunculus
3504	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Betula
369122	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	genus	Dinoponera
369248	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Vollenhovia
3746	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Fragaria
3749	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Malus
3794	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Heuchera
3817	0	0	0	4	0	0	0	0	0	0	0	0	60	0	0	0	18	0	0	0	1	0	0	0	genus	Arachis
3846	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Glycine
3932	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Eucalyptus
40558	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	genus	Botryotinia
4071	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Capsicum
4107	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	genus	Solanum
4329	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Macadamia
435940	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	genus	Turgida
4480	0	0	0	0	2	0	0	0	21	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	genus	Aegilops
45059	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	genus	Frankliniella
4512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	genus	Hordeum
4520	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Lolium
4527	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Oryza
4546	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Saccharum
4554	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Setaria
4557	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Sorghum
4564	0	0	0	0	10	0	0	0	102	0	0	15	0	0	105	0	0	0	0	0	0	0	0	0	genus	Triticum
4575	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Zea
4583	0	1	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Cenchrus
4719	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Phoenix
50180	0	0	0	0	0	1	0	0	0	0	0	0	0	4	10	4	0	0	0	0	1	0	0	0	genus	Dacrycarpus
51538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	genus	Microplitis
51952	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	genus	Elaeis
5402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	genus	Russula
6160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	genus	Dugesia
641890	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Prionoplus
6534	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	genus	Helix
69511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	genus	Artioposthia
6972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	genus	Blattella
