taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
1	103826	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	9	0	genus	Thelazia
2	108410	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	genus	Carludovica
3	12956	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	genus	Atta
4	13215	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	genus	Piper
5	132420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	genus	Arthurdendyus
6	13248	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Rhodnius
7	13332	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	genus	Amborella
8	13749	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Vaccinium
9	13893	0	0	0	1	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	genus	Cocos
10	139060	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Ascocoryne
11	145426	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	genus	Succinea
12	145609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	genus	Deroceras
13	15367	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Brachypodium
14	157304	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	22	genus	Anoplophora
15	175340	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	genus	Stegodyphus
16	195164	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	genus	Agrilus
17	2706	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Citrus
18	286705	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Halyomorpha
19	304460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	4	7	0	genus	Spirocerca
20	33196	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Botrytis
21	3328	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	genus	Picea
22	3413	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	genus	Liriodendron
23	3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	genus	Ranunculus
24	34699	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	genus	Cyphomyrmex
25	3482	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Cannabis
26	3504	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Betula
27	35711	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Leersia
28	3603	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	genus	Vitis
29	36459	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	genus	Phalaenopsis
30	3648	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Carica
31	369122	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	genus	Dinoponera
32	369248	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	genus	Vollenhovia
33	3746	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	genus	Fragaria
34	3749	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Malus
35	3766	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Pyrus
36	3794	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Heuchera
37	3817	0	0	0	7	0	0	0	0	0	0	0	0	149	0	0	0	30	1	1	0	1	1	0	0	genus	Arachis
38	3846	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Glycine
39	3932	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	genus	Eucalyptus
40	40558	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	genus	Botryotinia
41	4071	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	genus	Capsicum
42	4107	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	genus	Solanum
43	4145	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Olea
44	4329	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	genus	Macadamia
45	435940	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	genus	Turgida
46	4430	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Nelumbo
47	4480	0	0	0	1	3	0	1	0	41	0	2	2	1	0	32	0	0	0	0	0	0	0	0	0	genus	Aegilops
48	449632	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	genus	Parasteatoda
49	45059	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	genus	Frankliniella
50	4512	0	0	0	0	1	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	genus	Hordeum
51	4520	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Lolium
52	4527	0	0	0	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Oryza
53	4546	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Saccharum
54	4554	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Setaria
55	4557	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Sorghum
56	4564	0	0	0	4	23	0	2	0	223	0	2	28	0	0	233	1	0	0	0	0	0	2	0	0	genus	Triticum
57	4575	0	0	0	7	13	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	genus	Zea
58	4583	0	1	0	589	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	genus	Cenchrus
59	4719	0	0	0	1	3	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	genus	Phoenix
60	50180	0	0	0	0	0	1	0	0	0	0	0	0	0	7	19	10	0	0	0	0	1	0	0	0	genus	Dacrycarpus
61	51538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	genus	Microplitis
62	5179	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	genus	Sclerotinia
63	51952	0	1	0	0	5	2	0	1	0	0	0	18	1	0	0	0	0	0	0	0	11	3	0	0	genus	Elaeis
64	5402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	genus	Russula
65	5475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	genus	Candida
66	55270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	genus	Schmidtea
67	604375	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	genus	Harpegnathos
68	61471	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	genus	Timema
69	6160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	genus	Dugesia
70	6215	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	genus	Hymenolepis
71	6276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	genus	Acanthocheilonema
72	6278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	genus	Brugia
73	6281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	1	genus	Onchocerca
74	6286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	10	1	genus	Dirofilaria
75	6292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	genus	Wuchereria
76	637852	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	genus	Gongylonema
77	641890	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	genus	Prionoplus
78	649474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	genus	Cylindrus
79	6534	0	0	1	0	2	0	23	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	42	genus	Helix
80	6643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	genus	Octopus
81	6875	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	genus	Centruroides
82	69511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	genus	Artioposthia
83	6972	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	genus	Blattella
84	7028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	genus	Acyrthosiphon
85	70376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	genus	Ladona
86	7106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	genus	Spodoptera
87	7112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	genus	Helicoverpa
88	7208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	genus	Loa
89	7215	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	genus	Drosophila
90	7538	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	genus	Leptinotarsa
91	75558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	genus	Physaloptera
92	8082	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Xiphophorus
93	8995	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	genus	Numida
94	9030	0	0	0	0	16	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	genus	Gallus
95	9090	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	genus	Coturnix
