taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
1446378	0	0	0	0	0	10	0	0	0	0	2	0	0	21	37	36	0	0	0	0	1	0	0	1	order	Araucariales
1446380	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	order	Pinales
16736	0	0	0	67	0	0	0	0	0	0	0	0	1	0	0	0	0	8	2	0	0	0	0	0	order	Piperales
232378	0	0	0	1	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	order	Proteales
261009	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	order	Amborellales
28738	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Cyprinodontiformes
30262	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	order	Thysanoptera
3400	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	order	Magnoliales
34395	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Chaetothyriales
3502	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	order	Fagales
3524	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	order	Caryophyllales
3646	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Malpighiales
3699	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	order	Brassicales
3744	0	0	0	1	6	2	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	order	Rosales
38820	0	2	6	1443	72	3	23	0	438	0	7	47	2	0	477	2	0	0	1	0	0	4	0	1	order	Poales
403667	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	order	Vitales
4055	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	order	Gentianales
40550	0	0	0	0	0	17	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	order	Pandanales
40551	0	1	0	2	11	16	0	3	0	0	2	23	6	0	1	0	0	1	0	0	12	8	0	0	order	Arecales
4069	0	0	0	155	0	0	3	0	0	1	0	0	0	0	0	0	0	11	0	1	0	0	0	0	order	Solanales
41361	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	order	Scolopendromorpha
4143	0	4	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	order	Lamiales
41768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	order	Ranunculales
41937	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Sapindales
41938	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	order	Malvales
41944	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	order	Myrtales
41945	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Ericales
41946	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	order	Saxifragales
4209	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Asterales
43271	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	order	Opiliones
452342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	order	Russulales
4827	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	order	Mucorales
4892	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	order	Saccharomycetales
5178	0	0	0	0	0	45	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	order	Helotiales
6159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	13	0	0	0	order	Tricladida
6201	16	0	0	1	0	2	0	0	0	13	0	0	0	3	0	0	0	0	0	2	0	0	1	0	order	Cyclophyllidea
6274	6	0	0	0	3	0	0	7	0	0	0	0	0	1	0	2	19	2	5	0	3	21	94	11	order	Spirurida
6527	0	0	1	0	2	0	24	0	0	0	0	0	0	1	0	0	0	3	5	0	0	0	0	46	infraorder	Stylommatophora
6638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	order	Octopoda
6855	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	order	Scorpiones
6893	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	8	order	Araneae
6961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	order	Odonata
6993	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	order	Orthoptera
7020	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	order	Phasmatodea
7041	0	0	0	0	0	2	0	37	0	0	1	0	1	19	0	0	0	0	0	0	1	0	0	83	order	Coleoptera
70426	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Oxyurida
7088	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	36	order	Lepidoptera
7147	0	0	0	0	0	2	0	1	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	2	order	Diptera
72025	0	0	0	8	5	0	0	0	0	0	0	0	152	0	0	0	33	1	2	0	1	2	1	0	order	Fabales
73496	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	order	Asparagales
7399	0	0	1	0	0	9	0	3	0	0	0	1	0	15	0	5	1	0	0	0	0	0	0	31	order	Hymenoptera
7524	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	order	Hemiptera
8006	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Salmoniformes
85823	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	order	Blattodea
8976	0	0	0	0	57	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	0	0	order	Galliformes
999999	31	12	12	1830	179	236	55	93	443	15	27	81	272	126	524	140	68	34	41	8	47	72	113	260	order	Not assigned
