taxid	PW8	OS14	AP3	PW4	OS12	AP2	PW2	OS11	AP12	PW1	OS10	AP10	AP8	AP5	AP9	AP11	PW5	PW3	PW6	PW7	OS5	OS7	OS13	OS2	taxlevel	name
1	1446378	0	0	0	0	0	10	0	0	0	0	2	0	0	21	37	36	0	0	0	0	1	0	0	1	order	Araucariales
2	1446380	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	order	Pinales
3	16736	0	0	0	67	0	0	0	0	0	0	0	0	1	0	0	0	0	8	2	0	0	0	0	0	order	Piperales
4	232378	0	0	0	1	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	order	Proteales
5	261009	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	order	Amborellales
6	28738	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Cyprinodontiformes
7	30262	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	order	Thysanoptera
8	3400	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	order	Magnoliales
9	34395	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Chaetothyriales
10	3502	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	order	Fagales
11	3524	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	order	Caryophyllales
12	3646	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	order	Malpighiales
13	3699	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	order	Brassicales
14	3744	0	0	0	1	6	2	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	order	Rosales
15	38820	0	2	6	1443	72	3	23	0	438	0	7	47	2	0	477	2	0	0	1	0	0	4	0	1	order	Poales
