"seq.name"	"rat.id"	"barcode"	"read.length"	"mean.read.accur"	"median.read.accur"	"sequence.run"	"subject.id"	"percent.ident"	"align.length"	"mismatches"	"gap.opens"	"query.start"	"query.end"	"subject.start"	"subject.end"	"bit.score"	"subject.descr"	"species"	"blast.genus"	"readl.alignl.ratio"	"megan.kingdom"	"megan.phylum"	"megan.class"	"megan.order"	"megan.family"	"megan.genus"
"5f43e47e-8f3b-4dcd-a935-7fadc2c13bec runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=782 ch=100 start_time=2017-01-26T02:04:40Z barcode=barcode01"	"OS2"	"JNB01"	430	0.859088385200006	0.9	"January"	"gi|938311059|ref|NW_014463780.1|"	86.5	163	22	10	90	248	1843044	1843200	171.012	"Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold: Mdem2 Mdem_scaffold_0001: whole genome shotgun sequence &gt;gi|937500632|gb|KQ464183.1| Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold Mdem_scaffold_0001: whole genome shotgun sequence"	"Microplitis demolitor"	"Microplitis"	0.37906976744186	"2759"	"6656"	"50557"	"7399"	"7402"	NA
"e1813e7b-6360-4be8-a796-bb705f5b6659 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1597 ch=102 start_time=2017-01-26T01:28:41Z barcode=barcode01"	"OS2"	"JNB01"	525	0.925418928357356	0.968377223398316	"January"	"gi|6863175|gb|AF109924.1|AF109924"	84.01	394	63	34	136	521	1891	2258	348.29	"Helix pomatia sulfatase 1 precursor (SULF1) mRNA: complete cds"	"Helix pomatia"	"Helix"	0.750476190476191	"2759"	"6447"	"6448"	"6527"	"6533"	"6534"
"f5863a71-62e3-46fd-8c40-890191199bad runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1518 ch=103 start_time=2017-01-26T01:40:28Z barcode=barcode01"	"OS2"	"JNB01"	532	0.893079565963018	0.949881276637273	"January"	"gi|55276681|gb|AY625469.1|"	78.87	284	60	13	97	373	499	776	180.245	"Conicobruchus strangulatus cytochrome b (cytb) gene: partial cds; mitochondrial"	"Conicobruchus strangulatus"	"Conicobruchus"	0.533834586466165	"2759"	"6656"	"50557"	NA	NA	NA
"c5cfae25-87c1-4133-8b46-5859413c0bc1 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=782 ch=103 start_time=2017-01-26T01:16:03Z barcode=barcode01"	"OS2"	"JNB01"	570	0.864048337161864	0.920567176527572	"January"	"gi|571803317|gb|KI911128.1|"	86	300	42	17	71	363	782498	782787	305.817	"Cladonia metacorallifera KoLRI002260 unplaced genomic scaffold scaffold20: whole genome shotgun sequence"	"Cladonia metacorallifera"	"Cladonia"	0.526315789473684	"2759"	"4890"	NA	NA	NA	NA
"01eaa2f6-c6fd-43fd-bffe-5c3e78b9a745 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2835 ch=106 start_time=2017-01-26T06:58:58Z barcode=barcode01"	"OS2"	"JNB01"	735	0.854053721666762	0.9	"January"	"gi|938310971|ref|NW_014463792.1|"	80	180	36	15	262	429	408882	408706	119.306	"Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold: Mdem2 Mdem_scaffold_0013: whole genome shotgun sequence &gt;gi|937500620|gb|KQ464195.1| Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold Mdem_scaffold_0013: whole genome shotgun sequence"	"Microplitis demolitor"	"Microplitis"	0.244897959183673	"2759"	"6656"	"50557"	"7399"	"7402"	NA
"63dd4461-8366-4b9f-a666-e5c1421b8b52 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4607 ch=106 start_time=2017-01-26T16:37:09Z barcode=barcode01"	"OS2"	"JNB01"	332	0.914751787581083	0.968377223398316	"January"	"gi|938310930|ref|NW_014463833.1|"	87.28	173	22	10	84	253	343736	343571	189.479	"Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold: Mdem2 Mdem_scaffold_0055: whole genome shotgun sequence &gt;gi|937500580|gb|KQ464235.1| Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold Mdem_scaffold_0055: whole genome shotgun sequence"	"Microplitis demolitor"	"Microplitis"	0.521084337349398	"2759"	"6656"	"50557"	"7399"	"7402"	NA
"6fbd159d-87f3-4de0-a85b-a6f6aebe5feb runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=453 ch=108 start_time=2017-01-26T00:43:15Z barcode=barcode01"	"OS2"	"JNB01"	823	0.939647230926264	0.968377223398316	"January"	"gi|55771030|emb|X55947.2|"	90.64	203	19	9	517	715	1552	1749	261.498	"Helix aspersa non-neuronal intermediate filament gene for non-neuronal intermediate filament proteins A and B: exons 1-11"	"Helix aspersa"	"Helix"	0.246658566221142	"2759"	"6447"	"6448"	"6527"	"6533"	NA
"6be69ec4-8f73-4b24-982b-18d6d4fcedb5 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1147 ch=115 start_time=2017-01-26T02:30:07Z barcode=barcode01"	"OS2"	"JNB01"	1900	0.87310026137576	0.920567176527572	"January"	"gi|1134614433|gb|KX943499.1|"	76.97	825	190	51	131	924	7283	8087	424.003	"Phaedon tumidulus mitochondrion: partial genome"	"Phaedon tumidulus"	"Phaedon"	0.434210526315789	"2759"	"6656"	"50557"	"7041"	NA	NA
"999d9dec-8eb8-49dc-941b-258790c484e8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1034 ch=115 start_time=2017-01-26T02:16:23Z barcode=barcode01"	"OS2"	"JNB01"	511	0.919143213417443	0.96018928294465	"January"	"gi|1079480128|ref|NW_017372784.1|"	85.88	262	37	6	71	329	371641	371383	274.424	"Anoplophora glabripennis unplaced genomic scaffold: Agla_1.0 Scaffold339: whole genome shotgun sequence &gt;gi|499122840|gb|KB933838.1| Anoplophora glabripennis unplaced genomic scaffold Scaffold339: whole genome shotgun sequence"	"Anoplophora glabripennis"	"Anoplophora"	0.512720156555773	"2759"	"6656"	"50557"	"7041"	"34667"	NA
"01a92e60-cdd6-4f5c-881a-961ea31f6a75 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=343 ch=115 start_time=2017-01-26T00:58:04Z barcode=barcode01"	"OS2"	"JNB01"	583	0.943542003366715	0.974881135684904	"January"	"gi|1371467033|gb|MF521835.1|"	80.29	208	41	10	58	257	14367	14572	148.852	"Callipogon relictus voucher NHC-A-2016-120 mitochondrion: complete genome"	"Callipogon relictus"	"Callipogon"	0.356775300171527	"2759"	"6656"	"50557"	NA	NA	NA
